"EMPLOYMENT AND EMPLOYEES","Abusive work environments, subjecting employee to, as unfair labor practice","https://app.leg.wa.gov/billsummary?BillNumber=1935&Year=2021&Initiative=false","HB 1935","Civil R & Judi","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing workplace bullying by making it an unfair practice to subject an employee to an abusive work environment.","Wicks, Berg, Berry, Dolan, Johnson, J., Ryu, Simmons, Goodman, Morgan, Pollet, Taylor, Fey","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, agricultural labor work group, establishing","https://app.leg.wa.gov/billsummary?BillNumber=1516&Year=2021&Initiative=false","HB 1516","Labor & Workpl","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning agricultural labor.","Shewmake, Taylor, Valdez, Ramel, Ormsby, Springer","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, employer exemption from payment of overtime to, removing","https://app.leg.wa.gov/billsummary?BillNumber=5172&Year=2021&Initiative=false","Engrossed Substitute - ESSB 5172","249 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the retroactivity of overtime claims in exceptional cases.","King, Brown, Fortunato, Honeyford, Muzzall, Schoesler, Short, Wagoner","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, modifying overtime compensation requirement to include, when","https://app.leg.wa.gov/billsummary?BillNumber=5172&Year=2021&Initiative=false","Engrossed Substitute - ESSB 5172","249 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the retroactivity of overtime claims in exceptional cases.","King, Brown, Fortunato, Honeyford, Muzzall, Schoesler, Short, Wagoner","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, overtime compensation for 50+ hours during special circumstance weeks","https://app.leg.wa.gov/billsummary?BillNumber=1750&Year=2021&Initiative=false","HB 1750","Labor & Workpl","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Authorizing an agricultural employer to select any 12 weeks in a calendar year as special circumstance weeks for labor demand, during which in each of the selected 12 weeks, the agricultural employer may employ agricultural employees for up to 50 hours before the requirement to pay overtime applies under RCW 49.46.130.","Hoff, Walen, Rude, Ybarra, Klippert, Dent, Corry, Dufault, Goehner, Chambers, Chapman, Eslick, Kraft, Jacobsen, Graham","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, specific needs of farmworkers, comprehensive study of, conducting","https://app.leg.wa.gov/billsummary?BillNumber=2102&Year=2021&Initiative=false","HB 2102","Approps","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Commissioning a study and audits to examine current laws applicable to farmworkers related to workplace health and safety, housing needs, and harassment, discrimination, and retaliation.","Ortiz-Self, Valdez, Santos, Taylor, Berry, Pollet, Ramel, Ryu, Johnson, J.","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, temporary housing for farmworkers, sales/use tax exemptions for, expanding","https://app.leg.wa.gov/billsummary?BillNumber=5396&Year=2021&Initiative=false","2nd Substitute - 2SSB 5396","250 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Expanding the sales and use tax exemption for farmworker housing.","Lovelett, Saldaña, Conway, Das, Kuderer, Nguyen, Wilson, C.","No Requester"
"EMPLOYMENT AND EMPLOYEES","Agricultural workers, with mental health stresses/suicidal thoughts, agricultural community mental health hotlines for","https://app.leg.wa.gov/billsummary?BillNumber=1434&Year=2021&Initiative=false","HB 1434","HC/Wellness","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning agricultural community mental health hotline services.","Dent, Orwall, Sutherland, Chambers, Graham, Klicker, Dufault, Lovick, Peterson, Volz, Johnson, J., Schmick, Valdez, Mosbrucker, Hoff, Callan, Barkis, Klippert, Chandler, Eslick, Boehnke, Rule, Pollet","No Requester"
"EMPLOYMENT AND EMPLOYEES","Airports, municipal, minimum labor standards enactment, when","https://app.leg.wa.gov/billsummary?BillNumber=5385&Year=2021&Initiative=false","SB 5385","106 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the size of the airport a municipality must control or operate for that municipality to enact minimum labor standards for employees at the airport.","Keiser, Saldaña, Nguyen","No Requester"
"EMPLOYMENT AND EMPLOYEES","Bullying, subjecting employee to abusive work environments, as unfair labor practice","https://app.leg.wa.gov/billsummary?BillNumber=1935&Year=2021&Initiative=false","HB 1935","Civil R & Judi","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing workplace bullying by making it an unfair practice to subject an employee to an abusive work environment.","Wicks, Berg, Berry, Dolan, Johnson, J., Ryu, Simmons, Goodman, Morgan, Pollet, Taylor, Fey","No Requester"
